Cat,Subcat ,url ,page,,,,
"Perfumería, higiene, salud",Tintes,https://www.dia.es/perfumeria-higiene-salud/tintes/c/L2147,3,,,,
"Perfumería, higiene, salud","Limpieza facial, crema facial",https://www.dia.es/perfumeria-higiene-salud/limpieza-facial-crema-facial/c/L2148,5,,,,
"Perfumería, higiene, salud",Afeitado,https://www.dia.es/perfumeria-higiene-salud/afeitado/c/L2150,1,,,,
"Perfumería, higiene, salud",Depilación,https://www.dia.es/perfumeria-higiene-salud/depilacion/c/L2188,2,,,,
"Perfumería, higiene, salud",Jabón de manos,https://www.dia.es/perfumeria-higiene-salud/jabon-de-manos/c/L2156,1,,,,
"Perfumería, higiene, salud",Cremas solares,https://www.dia.es/perfumeria-higiene-salud/cremas-solares/c/L2227,1,,,,
"Perfumería, higiene, salud",Compresas y cuidado íntimo,https://www.dia.es/perfumeria-higiene-salud/compresas-y-cuidado-intimo/c/L2158,4,,,,
"Perfumería, higiene, salud",Complementos nutricionales,https://www.dia.es/perfumeria-higiene-salud/complementos-nutricionales/c/L2183,2,,,,
"Perfumería, higiene, salud",Parafarmacia,https://www.dia.es/perfumeria-higiene-salud/parafarmacia/pag-3/c/L2184,3,,,,
Bebé,Papilla,https://www.dia.es/bebe/papilla/c/L2138,1,,,,
Bebé,Leche infantil,https://www.dia.es/bebe/leche-infantil/c/L2139,1,,,,
Bebé,Potitos y tarritos,https://www.dia.es/bebe/potitos-y-tarritos/c/L2141,2,,,,
Bebé,"Yogures, bolsitas de frutas y snacks",https://www.dia.es/bebe/yogures-bolsitas-de-frutas-y-snacks/c/L2140,2,,,,
Bebé,Pañales y toallitas,https://www.dia.es/bebe/panales-y-toallitas/c/L2142,2,,,,
Bebé,Cuidado del bebé,https://www.dia.es/bebe/cuidado-del-bebe/c/L2143,2,,,,
Mascotas,Perros,https://www.dia.es/mascotas/perros/c/L2174,4,,,,
Mascotas,Gatos,https://www.dia.es/mascotas/gatos/c/L2175,5,,,,
Mascotas,Otros animales,https://www.dia.es/mascotas/otros-animales/c/L2176,1,,,,
